G,AB,H,AVG,salary,allstar,birthYear,birthCountry,weight,height,bats,debutYear,ageDebut
178,66,4,0.060606061,4118750,0,1980,Other,270,76,R,2006,26
100,212,31,0.146226415,12547851.33,1,1975,USA,230,78,R,1997,22
1149,4056,1092,0.269230769,2446800,1,1985,USA,210,76,L,2011,26
508,1164,305,0.262027491,521800,0,1987,Other,185,71,L,2011,24
131,222,48,0.216216216,461166.6667,0,1982,USA,210,71,R,2007,25
583,1815,494,0.272176309,2564270.8,0,1974,USA,175,70,R,2002,28
104,172,44,0.255813953,4.00E+05,0,1982,USA,230,72,L,2008,26
750,2469,536,0.21709194,1919750,0,1986,USA,245,76,R,2010,24
297,755,174,0.230463576,513600,0,1988,USA,220,74,R,2014,26
315,203,32,0.157635468,2502400,0,1986,USA,235,78,R,2010,24
24,41,7,0.170731707,490500,0,1986,USA,200,72,R,2012,26
888,3360,930,0.276785714,520500,0,1992,USA,203,76,R,2013,21
228,733,205,0.279672578,6250000,1,1975,Other,145,71,B,1996,21
726,2462,626,0.254264825,1708250,0,1987,Other,215,70,R,2010,23
825,2674,619,0.231488407,2142350,0,1987,USA,215,75,L,2010,23
119,255,60,0.235294118,7.00E+05,0,1972,Other,190,71,R,1995,23
117,338,82,0.24260355,1541666.667,0,1976,Other,240,75,R,1999,23
1470,5773,1617,0.280097003,4429738,1,1990,Other,220,74,R,2010,20
102,169,44,0.26035503,650000,0,1974,USA,170,72,L,1997,23
546,1661,401,0.241420831,1133100,0,1983,Other,195,72,R,2005,22
118,341,76,0.2228739,507500,0,1989,Other,195,69,L,2013,24
711,2198,592,0.26933576,1094891.667,0,1986,Other,220,72,R,2008,22
826,3160,865,0.273734177,13165609.2,1,1985,Other,225,71,R,2012,27
262,355,65,0.183098592,1850250,0,1988,Other,215,75,R,2009,21
84,88,19,0.215909091,490000,0,1986,USA,200,70,L,2011,25
208,204,42,0.205882353,660666.6667,0,1989,USA,200,71,R,2011,22
336,876,230,0.262557078,5483333.333,0,1977,USA,215,73,L,1998,21
220,103,7,0.067961165,5609866.6,0,1985,Other,200,72,R,2012,27
248,727,180,0.247592847,650000,0,1991,Other,260,73,L,2016,25
1460,5468,1497,0.273774689,8141425,1,1982,Other,205,71,L,2005,23
217,578,142,0.24567474,2150000,0,1978,USA,190,73,L,2004,26
217,52,10,0.192307692,522666.6667,0,1989,USA,217,76,L,2012,23
272,612,164,0.267973856,508000,0,1985,Other,180,72,R,2010,25
36,66,12,0.181818182,8.00E+05,1,1972,USA,205,80,B,1995,23
77,166,32,0.192771084,405000,0,1983,USA,220,73,L,2007,24
170,484,110,0.227272727,502400,0,1986,USA,210,70,L,2011,25
801,2580,666,0.258139535,1545583.333,0,1985,USA,195,72,L,2009,24
195,251,41,0.163346614,530500,1,1990,USA,220,76,R,2013,23
214,154,19,0.123376623,828750,0,1986,USA,240,75,R,2011,25
249,214,15,0.070093458,4878571.429,1,1973,Other,285,71,R,1997,24
150,355,91,0.256338028,513975,0,1989,Other,215,70,R,2014,25
441,1215,290,0.238683128,919400,0,1985,USA,210,75,L,2009,24
578,1943,491,0.252702007,517246,1,1993,USA,215,73,L,2015,22
174,84,12,0.142857143,512500,0,1990,USA,209,75,L,2015,25
287,441,89,0.201814059,413625,0,1980,USA,190,70,B,2008,28
112,220,60,0.272727273,480000,0,1983,Other,185,69,L,2011,28
97,118,16,0.13559322,9625000,1,1979,USA,215,75,R,2002,23
239,603,140,0.232172471,1583333.333,0,1975,Other,200,72,L,1998,23
210,357,55,0.154061625,1181000,1,1989,USA,210,75,L,2012,23
232,701,153,0.218259629,658433.3333,0,1984,Other,240,74,B,2009,25
193,216,27,0.125,3725000,0,1980,USA,200,75,R,2003,23
75,58,7,0.120689655,530000,0,1990,USA,206,75,R,2013,23
88,205,46,0.224390244,555000,0,1973,USA,200,73,R,2006,33
339,765,194,0.253594771,1500000,0,1970,USA,180,72,L,1995,25
135,179,32,0.17877095,414000,0,1985,USA,200,73,L,2010,25
317,689,161,0.233671988,695404,0,1986,USA,190,69,R,2011,25
839,3088,764,0.247409326,1370500,1,1985,USA,204,72,R,2011,26
534,1831,506,0.27635172,1884833.333,1,1984,USA,215,74,R,2010,26
1251,4230,1055,0.249408983,2149200,1,1987,USA,223,73,L,2011,24
791,2869,820,0.285813872,17084803.38,1,1981,USA,230,74,L,2002,21
167,406,90,0.221674877,3150000,0,1980,USA,210,75,R,2003,23
173,543,128,0.23572744,453250,0,1984,Other,210,73,R,2008,24
272,621,134,0.215780998,570000,0,1986,USA,215,71,R,2011,25
846,3142,893,0.284213877,9654761.714,1,1979,USA,220,74,R,2001,22
265,471,51,0.108280255,6820375,1,1986,Other,229,71,R,2008,22
418,842,210,0.249406176,517500,0,1989,USA,200,73,R,2012,23
23,26,2,0.076923077,507000,0,1988,USA,215,74,R,2013,25
200,372,79,0.212365591,482300,0,1986,USA,215,71,R,2008,22
67,121,25,0.20661157,507500,0,1989,USA,205,72,B,2013,24
500,1688,415,0.245853081,523196,0,1989,USA,210,74,R,2013,24
170,99,10,0.101010101,8750000,1,1986,Other,220,77,R,2012,26
51,86,10,0.11627907,6500000,0,1975,USA,215,76,R,1999,24
667,2076,496,0.238921002,2272738,0,1987,USA,220,76,L,2010,23
